match_id,date,season,round,team,opponent,is_home,own_score,opp_score,result,tries,tackles_attempted,tackles_made,tackle_success_rate,carries,carry_metres,lineout_throws,lineout_won,lineout_success_rate,scrum_attempts,scrum_won,scrum_success_rate,turnovers_conceded,turnovers_won,penalties_conceded,yellow_cards,red_cards,possession_seconds,line_breaks,entries_22,entries_22_tries
945058,2024-12-29,2025,2,Kobelco Kobe Steelers,Yokohama Canon Eagles,Y,36,18,W,6,275,242,0.88,65,562.0,10,9,0.9,31,23,0.7419,9,12,20,2,0,582.3,8,9,6
945057,2024-12-29,2025,2,Mitsubishi Sagamihara Dynaboars,Toshiba Brave Lupus Tokyo,N,8,61,L,1,195,151,0.7744,109,887.0,14,9,0.6429,56,56,1.0,16,15,7,0,1,957.8,4,8,1
945057,2024-12-29,2025,2,Toshiba Brave Lupus Tokyo,Mitsubishi Sagamihara Dynaboars,Y,61,8,W,9,178,151,0.8483,139,1455.0,12,11,0.9167,96,96,1.0,15,16,10,0,0,1183.7,19,17,9
945058,2024-12-29,2025,2,Yokohama Canon Eagles,Kobelco Kobe Steelers,N,18,36,L,3,88,77,0.875,171,853.0,18,17,0.9444,96,96,1.0,12,9,7,0,0,1391.8,6,11,3
945061,2025-01-04,2025,3,BlackRams Tokyo,Saitama Wild Knights,Y,16,39,L,1,262,235,0.8969,90,457.0,13,10,0.7692,53,53,1.0,10,13,8,0,0,771.9,5,7,1
945060,2025-01-04,2025,3,Mitsubishi Sagamihara Dynaboars,Shizuoka BlueRevs,Y,34,40,L,5,184,161,0.875,132,845.0,10,10,1.0,49,49,1.0,10,11,10,0,0,1140.1,5,6,5
945061,2025-01-04,2025,3,Saitama Wild Knights,BlackRams Tokyo,N,39,16,W,5,128,106,0.8281,179,905.0,16,14,0.875,40,32,0.8,13,10,9,0,0,1369.6,11,17,5
945060,2025-01-04,2025,3,Shizuoka BlueRevs,Mitsubishi Sagamihara Dynaboars,N,40,34,W,6,222,193,0.8694,128,859.0,14,12,0.8571,64,56,0.875,11,10,12,0,0,867.3,6,12,6
945062,2025-01-04,2025,3,Tokyo Sungoliath,Toyota Verblitz,Y,30,30,D,3,213,172,0.8075,131,1013.0,16,15,0.9375,32,32,1.0,13,10,6,2,0,1158.4,10,12,3
945062,2025-01-04,2025,3,Toyota Verblitz,Tokyo Sungoliath,N,30,30,D,4,212,172,0.8113,141,1114.0,15,14,0.9333,48,48,1.0,10,13,13,0,0,1233.1,9,9,4
945065,2025-01-04,2025,3,Urayasu D-Rocks,Yokohama Canon Eagles,Y,12,40,L,2,206,178,0.8641,99,443.0,13,12,0.9231,71,55,0.7746,14,12,14,1,0,958.6,7,6,2
945065,2025-01-04,2025,3,Yokohama Canon Eagles,Urayasu D-Rocks,N,40,12,W,6,169,154,0.9112,140,835.0,16,13,0.8125,31,31,1.0,12,14,15,2,0,1252.2,8,19,6
